City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
4,Metro,ID,85.23,moderate rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
6,Mahebourg,MU,82.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
17,Atuona,PF,78.51,clear sky,-9.8,-139.0333,Villa Enata
20,Busselton,AU,78.15,few clouds,-33.65,115.3333,Observatory Guest House
22,Hobart,AU,76.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
24,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
27,Port Blair,IN,81.97,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
29,Luanda,AO,77.72,overcast clouds,-8.8368,13.2343,Hotel Fórum
34,Cabo San Lucas,MX,75.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
36,Hilo,US,79.29,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
39,Saint-Paul,RE,87.89,clear sky,-21.0096,55.2707,Boucan Canot
43,Padang,ID,87.85,scattered clouds,-0.9492,100.3543,Mercure Padang
49,Bandarbeyla,SO,80.11,few clouds,9.4942,50.8122,JABIR HOTEL
57,Isangel,VU,87.91,few clouds,-19.55,169.2667,Tanna Lodge
59,Rayong,TH,84.88,broken clouds,12.8333,101.4333,Suan Palm Garden View Hotel
60,Kavaratti,IN,80.87,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
62,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
65,Bengkulu,ID,84.24,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
66,Namatanai,PG,83.61,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
74,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
78,Kapaa,US,75.52,heavy intensity rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
79,Rikitea,PF,76.24,light rain,-23.1203,-134.9692,People ThankYou
86,Saint-Pierre,RE,87.44,clear sky,-21.3393,55.4781,Lindsey Hôtel
87,Cayenne,GF,76.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
89,Victoria,HK,77.18,broken clouds,22.2855,114.1577,Mini Hotel Central
92,Tsiroanomandidy,MG,82.83,clear sky,-18.7667,46.0333,Hotel du Bongolave
94,Saint-Philippe,RE,87.35,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
95,Biak,ID,82.35,overcast clouds,-0.9131,122.8766,Penginapan Kim
104,Kalmunai,LK,83.73,clear sky,7.4167,81.8167,VS Villa
105,Sao Filipe,CV,75.43,broken clouds,14.8961,-24.4956,Hotel Xaguate
107,Nhamunda,BR,75.22,broken clouds,-2.1861,-56.7131,Pousada Da Praia
110,New Norfolk,AU,75.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
116,Manado,ID,88.57,scattered clouds,1.487,124.8455,Aryaduta Hotel
120,Abakaliki,NG,77.81,overcast clouds,6.3163,8.1169,Grande Vitesse Apartments and Hotels
121,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
122,Mecca,SA,78.48,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
123,Luganville,VU,82.11,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
132,Gold Coast,AU,81.16,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
133,Hambantota,LK,86.34,scattered clouds,6.1241,81.1185,Bungalow 63
135,Geraldton,AU,84.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
138,Banda Aceh,ID,83.8,broken clouds,5.5577,95.3222,Sulthan Hotel International
140,Mormugao,IN,78.94,few clouds,15.4,73.8,Coconut Creek Resort
141,Xuddur,SO,78.1,few clouds,4.1213,43.8894,Banjanay Hotel
142,Grand Gaube,MU,83.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
