City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Mar Del Plata,AR,-38.0023,-57.5575,61.88,85,40,1.99,scattered clouds
1,San Quintin,MX,30.4833,-115.95,58.35,87,0,8.12,clear sky
2,Lebu,CL,-37.6167,-73.65,55.24,85,1,1.88,clear sky
3,Iqaluit,CA,63.7506,-68.5145,10.13,72,90,13.0,overcast clouds
4,Metro,ID,-5.1131,105.3067,85.23,68,100,8.81,moderate rain
5,Albany,US,42.6001,-73.9662,43.66,61,100,3.0,overcast clouds
6,Mahebourg,MU,-20.4081,57.7,82.69,65,40,13.8,scattered clouds
7,Kruisfontein,ZA,-34.0033,24.7314,65.88,84,87,19.04,overcast clouds
8,Thompson,CA,55.7435,-97.8558,-23.64,76,1,8.05,clear sky
9,Punta Arenas,CL,-53.15,-70.9167,43.23,75,99,4.85,overcast clouds
10,Hermanus,ZA,-34.4187,19.2345,59.9,88,100,7.25,light rain
11,Nguruka,TZ,-5.1092,31.0419,72.27,69,100,6.98,overcast clouds
12,Drayton Valley,CA,53.2168,-114.9854,3.9,90,86,5.48,overcast clouds
13,Wanganui,NZ,-39.9333,175.05,63.59,95,100,5.01,overcast clouds
14,Mataura,NZ,-46.1927,168.8643,55.47,51,59,8.52,broken clouds
15,Ostrovnoy,RU,68.0531,39.5131,11.14,74,92,23.22,overcast clouds
16,Hearst,CA,49.6835,-83.6665,14.25,92,100,7.85,light snow
17,Atuona,PF,-9.8,-139.0333,78.51,78,7,18.81,clear sky
18,Port Alfred,ZA,-33.5906,26.891,69.82,81,80,16.75,broken clouds
19,Provideniya,RU,64.3833,-173.3,18.05,96,84,7.67,broken clouds
20,Busselton,AU,-33.65,115.3333,78.15,37,22,5.99,few clouds
21,Koboko,UG,3.4136,30.9599,73.13,63,82,7.99,broken clouds
22,Hobart,AU,-42.8794,147.3294,76.26,47,75,8.01,broken clouds
23,Lata,PT,40.1629,-8.3327,51.82,96,37,2.24,scattered clouds
24,Conde,BR,-7.2597,-34.9075,78.26,89,20,6.91,few clouds
25,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,82,40,5.66,scattered clouds
26,Ilulissat,GL,69.2167,-51.1,26.62,50,88,10.36,overcast clouds
27,Port Blair,IN,11.6667,92.75,81.97,58,75,12.97,broken clouds
28,Port Elizabeth,ZA,-33.918,25.5701,68.09,88,0,5.75,light rain
29,Luanda,AO,-8.8368,13.2343,77.72,83,100,5.75,overcast clouds
30,Dikson,RU,73.5069,80.5464,-16.1,99,92,8.14,overcast clouds
31,Asbury Park,US,40.2204,-74.0121,54.05,86,90,3.0,overcast clouds
32,Lagunas,PE,-5.2269,-75.6753,72.64,92,100,1.77,overcast clouds
