City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Elizabeth,ZA,2021-12-04 08:47:33,-33.918,25.5701,69.1,77,90,6.91
1,Tiksi,RU,2021-12-04 08:51:45,71.6872,128.8694,-29.94,99,76,3.27
2,East London,ZA,2021-12-04 08:51:45,-33.0153,27.9116,65.34,94,75,9.22
3,Tasiilaq,GL,2021-12-04 08:51:46,65.6145,-37.6368,15.53,56,100,6.58
4,Vaini,TO,2021-12-04 08:51:46,-21.2,-175.2,78.96,94,75,10.36
5,Bagado,CO,2021-12-04 08:51:47,5.4116,-76.4152,72.79,99,99,0.51
6,Sao Filipe,CV,2021-12-04 08:51:47,14.8961,-24.4956,74.28,73,100,8.28
7,Yellowknife,CA,2021-12-04 08:51:47,62.456,-114.3525,-16.58,86,75,8.05
8,Cape Town,ZA,2021-12-04 08:48:47,-33.9258,18.4232,73.09,54,0,5.01
9,Atuona,PF,2021-12-04 08:51:47,-9.8,-139.0333,78.67,73,9,20.45
10,Punta Arenas,CL,2021-12-04 08:42:33,-53.15,-70.9167,46.51,87,75,8.05
11,Powell,US,2021-12-04 08:51:48,40.1578,-83.0752,35.6,92,1,6.91
12,Vadso,NO,2021-12-04 08:51:49,70.0744,29.7487,-4.92,79,41,6.38
13,Omboue,GA,2021-12-04 08:51:49,-1.5746,9.2618,82.17,75,100,5.19
14,Bluff,NZ,2021-12-04 08:51:50,-46.6,168.3333,60.28,89,81,1.19
15,Oussouye,SN,2021-12-04 08:51:50,12.485,-16.5469,71.78,60,51,2.57
16,Mataura,NZ,2021-12-04 08:51:50,-46.1927,168.8643,60.69,88,83,2.95
17,Avarua,CK,2021-12-04 08:51:51,-21.2078,-159.775,75.25,88,20,4.61
18,Tromso,NO,2021-12-04 08:50:00,69.6496,18.957,21.22,53,0,12.66
19,Holme,DK,2021-12-04 08:51:51,56.1138,10.1725,35.74,94,100,5.12
20,Ixtapa,MX,2021-12-04 08:51:52,20.7,-105.2,74.23,89,42,2.37
21,Barrow,US,2021-12-04 08:50:35,71.2906,-156.7887,-0.38,71,1,18.41
22,Pevek,RU,2021-12-04 08:51:52,69.7008,170.3133,-9.18,95,100,13.33
23,Kulhudhuffushi,MV,2021-12-04 08:51:53,6.6221,73.07,81.93,74,38,5.59
24,Tuktoyaktuk,CA,2021-12-04 08:51:53,69.4541,-133.0374,-20.02,88,10,7.54
25,Severo-Kurilsk,RU,2021-12-04 08:51:54,50.6789,156.125,36.52,98,100,3.58
26,Albany,US,2021-12-04 08:51:54,42.6001,-73.9662,31.8,76,65,2.48
27,Provideniya,RU,2021-12-04 08:51:54,64.3833,-173.3,19.89,79,81,30.49
28,Faya,SA,2021-12-04 08:51:55,18.3851,42.4509,69.91,15,0,1.57
29,Turayf,SA,2021-12-04 08:51:55,31.6725,38.6637,59.25,47,75,16.11
30,Margate,GB,2021-12-04 08:51:56,51.3813,1.3862,43.95,94,100,1.99
31,Vila Franca Do Campo,PT,2021-12-04 08:51:56,37.7167,-25.4333,61.21,82,16,0.74
32,Beinamar,TD,2021-12-04 08:51:57,8.6698,15.3813,91.78,22,39,4.41
33,Alofi,NU,2021-12-04 08:51:57,-19.0595,-169.9187,75.09,100,84,8.05
34,Victoria,HK,2021-12-04 08:48:41,22.2855,114.1577,72.18,39,72,8.99
35,Hamilton,US,2021-12-04 08:48:52,39.1834,-84.5333,40.98,83,1,1.01
36,Busselton,AU,2021-12-04 08:51:58,-33.65,115.3333,89.1,38,8,13.89
37,Esperance,AU,2021-12-04 08:51:58,-33.8667,121.9,71.44,63,0,22.53
38,Lentekhi,GE,2021-12-04 08:51:58,42.7856,42.7261,53.47,44,15,1.61
39,Iskateley,RU,2021-12-04 08:51:59,67.6803,53.1512,-14.89,100,28,2.44
40,Penzance,GB,2021-12-04 08:51:59,50.1186,-5.5371,47.52,71,40,31.07
41,New Norfolk,AU,2021-12-04 08:52:00,-42.7826,147.0587,54.91,50,17,1.99
42,Erenhot,CN,2021-12-04 08:52:00,43.6475,111.9767,27.25,44,0,9.17
43,Kavaratti,IN,2021-12-04 08:52:00,10.5669,72.642,81.61,72,96,2.55
44,Cabo San Lucas,MX,2021-12-04 08:50:02,22.8909,-109.9124,75.51,80,32,6.96
45,Thompson,CA,2021-12-04 08:52:01,55.7435,-97.8558,-18.24,76,75,0.0
46,Lompoc,US,2021-12-04 08:52:01,34.6391,-120.4579,55.13,82,90,4.61
47,Jalu,LY,2021-12-04 08:53:02,29.0331,21.5482,68.5,43,9,26.02
48,Padang,ID,2021-12-04 08:53:02,-0.9492,100.3543,84.25,80,100,6.89
49,Rikitea,PF,2021-12-04 08:53:02,-23.1203,-134.9692,76.08,76,16,14.7
50,Bogorodskoye,RU,2021-12-04 08:53:03,56.55,37.8833,24.1,89,100,14.99
51,Praia Da Vitoria,PT,2021-12-04 08:49:50,38.7333,-27.0667,63.75,94,40,3.78
52,Banda Aceh,ID,2021-12-04 08:53:03,5.5577,95.3222,85.08,67,84,3.67
53,Chuy,UY,2021-12-04 08:53:04,-33.6971,-53.4616,60.22,89,32,3.0
54,Saskylakh,RU,2021-12-04 08:48:56,71.9167,114.0833,-17.5,97,100,11.32
55,Mirabad,AF,2021-12-04 08:53:04,30.4362,61.8383,66.45,31,3,13.38
56,Nanortalik,GL,2021-12-04 08:53:05,60.1432,-45.2371,36.79,87,100,35.86
57,Jamestown,US,2021-12-04 08:53:05,42.097,-79.2353,36.72,92,90,3.0
58,Mayo,US,2021-12-04 08:53:05,38.8876,-76.5119,48.13,78,90,0.0
59,Los Llanos De Aridane,ES,2021-12-04 08:50:53,28.6585,-17.9182,64.15,73,75,10.0
60,Namatanai,PG,2021-12-04 08:53:06,-3.6667,152.4333,81.81,79,42,8.14
61,Dikson,RU,2021-12-04 08:53:06,73.5069,80.5464,-23.76,98,32,7.2
62,Palembang,ID,2021-12-04 08:53:07,-2.9167,104.7458,87.89,62,75,8.05
63,Acapulco,MX,2021-12-04 08:48:54,16.8634,-99.8901,75.27,74,95,3.91
64,Klyuchevsk,RU,2021-12-04 08:53:07,57.1216,60.9414,33.73,97,100,11.9
65,Itoman,JP,2021-12-04 08:53:08,26.1247,127.6694,66.22,53,20,13.8
66,Vardo,NO,2021-12-04 08:53:08,70.3705,31.1107,24.15,68,34,12.37
67,Hermanus,ZA,2021-12-04 08:53:09,-34.4187,19.2345,70.9,64,100,19.69
68,Batagay,RU,2021-12-04 08:53:09,67.6333,134.6333,-46.16,99,55,2.1
69,Ushuaia,AR,2021-12-04 08:51:31,-54.8,-68.3,46.06,49,20,5.75
70,Kahului,US,2021-12-04 08:53:10,20.8947,-156.47,71.83,77,90,17.27
71,Airai,TL,2021-12-04 08:53:10,-8.9266,125.4092,65.07,92,100,0.16
72,Maltahohe,NA,2021-12-04 08:53:11,-24.8333,16.9833,69.57,13,0,20.67
73,Hirara,JP,2021-12-04 08:53:11,24.8,125.2833,67.86,59,75,16.11
74,Ponta Do Sol,PT,2021-12-04 08:53:12,32.6667,-17.1,65.03,66,100,8.61
75,Pilar,BR,2021-12-04 08:53:12,-9.5972,-35.9567,78.73,88,77,5.46
76,Taltal,CL,2021-12-04 08:53:12,-25.4,-70.4833,60.78,80,32,1.77
77,Asau,RO,2021-12-04 08:53:13,46.4333,26.4,34.95,72,83,3.02
78,Lorengau,PG,2021-12-04 08:49:03,-2.0226,147.2712,81.61,84,98,15.32
79,Shimoda,JP,2021-12-04 08:53:13,34.6667,138.95,49.1,68,0,26.46
80,Ilulissat,GL,2021-12-04 08:53:14,69.2167,-51.1,17.04,55,100,17.0
81,Progreso,MX,2021-12-04 08:53:14,21.2833,-89.6667,73.11,79,97,8.01
82,Hobe Sound,US,2021-12-04 08:53:15,27.0595,-80.1364,65.01,89,40,0.0
83,Ugoofaaru,MV,2021-12-04 08:53:15,5.6667,73.0,82.67,74,11,8.1
84,Batagay-Alyta,RU,2021-12-04 08:53:16,67.8006,130.4114,-32.4,95,100,2.95
